FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
138,"氷","icicle",2022-08-21 10:42:33,2022-11-26,7,1,7
139,"永","eternity",2022-08-27 15:58:30,2022-12-27,7,1,7
140,"泉","spring",2022-08-19 16:02:42,2022-12-04,7,0,6
141,"腺","gland",2022-11-22 19:53:33,2023-07-26,8,1,7
142,"原","meadow",2022-08-11 19:56:10,2022-12-12,7,0,6
143,"願","petition",2022-08-21 10:52:49,2022-11-30,7,0,6
144,"泳","swim",2022-11-24 22:01:07,2023-06-08,8,0,7
145,"沼","marsh",2022-08-25 08:42:05,2022-12-29,7,0,6
146,"沖","open sea",2022-08-19 16:06:37,2022-12-15,7,0,6
147,"汎","pan-",2022-08-23 19:11:51,2022-12-26,7,0,6
148,"江","creek",2022-11-23 21:34:01,2023-07-24,8,0,7
149,"汰","cleanse",2022-08-19 15:53:31,2022-12-05,7,0,6
150,"汁","soup",2022-09-01 08:43:09,2023-01-05,7,0,6
151,"沙","grains of sand",2022-08-18 15:44:38,2022-12-02,7,0,6
152,"潮","tide",2022-08-14 12:42:00,2022-11-26,7,0,6
153,"源","source",2022-08-29 20:27:05,2022-12-21,7,2,7
154,"活","lively",2022-08-24 08:38:50,2022-12-12,7,0,6
155,"消","extinguish",2022-08-17 11:09:57,2022-12-10,7,0,6
156,"況","but of course",2022-08-16 09:34:46,2022-12-10,7,0,6
157,"河","river",2022-08-28 15:15:13,2022-12-13,7,1,6
158,"泊","overnight",2022-09-04 10:22:51,2023-01-08,7,0,6
159,"湖","lake",2022-08-21 12:56:31,2022-12-04,7,0,6
160,"測","fathom",2022-09-15 07:43:47,2023-01-02,7,1,9
161,"土","soil",2022-08-15 08:26:44,2022-12-09,7,0,6
162,"吐","spit",2022-11-20 12:07:13,2022-12-18,5,1,10
163,"圧","pressure",2022-11-18 20:32:14,2023-06-18,8,0,7
164,"埼","cape (piece of land)",2022-09-17 11:06:30,2022-12-30,7,1,9
165,"垣","hedge",2022-09-26 08:25:13,2023-01-09,7,2,9
166,"填","stuffed up",2022-11-22 19:49:27,2023-03-06,7,1,8
167,"圭","ivy",2022-08-13 09:37:08,2022-12-10,7,0,6
168,"封","seal",2022-09-25 12:29:21,2023-01-19,7,1,11
169,"涯","horizon",2022-09-02 20:51:32,2022-12-05,7,0,6
170,"寺","Buddhist temple",2022-11-21 21:15:57,2023-07-20,8,1,7
171,"時","time",2022-08-27 15:47:14,2022-12-26,7,0,6
172,"均","level",2022-11-15 20:20:23,2023-07-12,8,0,7
173,"火","fire",2022-11-20 11:25:19,2023-07-21,8,0,7
174,"炎","inflammation",2022-08-25 08:46:20,2022-12-10,7,0,6
175,"煩","anxiety",2022-10-31 15:56:55,2022-12-19,6,2,10
176,"淡","thin",2022-09-05 07:54:22,2022-12-23,7,1,8
177,"灯","lamp",2022-08-24 08:38:50,2022-12-07,7,0,6
178,"畑","farm",2022-08-22 19:31:07,2022-12-05,7,0,6
179,"災","disaster",2022-08-27 16:04:14,2022-12-02,7,0,6
180,"灰","ashes",2022-08-12 19:29:10,2022-12-06,7,0,6
181,"点","spot",2022-08-29 20:00:40,2022-12-20,7,0,6
182,"照","illuminate",2022-08-29 20:45:44,2023-01-02,7,2,7
183,"魚","fish",2022-08-16 09:34:03,2022-11-27,7,0,6
184,"漁","fishing",2022-08-22 20:05:37,2022-11-28,7,0,6
185,"里","ri",2022-11-21 21:35:17,2022-12-17,5,0,4
186,"黒","black",2022-08-29 20:38:18,2022-12-21,7,0,6
187,"墨","black ink",2022-11-22 19:53:33,2023-03-12,7,0,8
188,"鯉","carp",2022-09-10 08:43:32,2022-12-25,7,1,8
189,"量","quantity",2022-09-01 08:21:27,2022-12-26,7,2,6
190,"厘","centi",2022-08-28 15:15:13,2022-12-15,7,0,6
191,"埋","bury",2022-09-01 08:36:08,2022-12-07,7,0,6
192,"同","same",2022-09-13 08:29:45,2022-12-22,7,1,8
193,"洞","den",2022-08-30 20:31:09,2022-12-24,7,0,6
194,"胴","trunk",2022-09-05 07:43:00,2023-01-03,7,1,7
195,"向","yonder",2022-08-29 20:32:58,2022-12-24,7,1,7
196,"尚","esteem",2022-09-18 18:00:56,2023-01-09,7,1,9
197,"字","character",2022-09-01 08:21:27,2022-12-30,7,0,6
198,"守","guard",2022-09-01 08:46:05,2023-01-01,7,0,6
199,"完","perfect",2022-10-14 10:57:14,2023-02-06,7,2,11
200,"宣","proclaim",2022-09-07 07:40:01,2022-12-28,7,0,7
201,"宵","wee hours",2022-11-08 14:44:56,2023-02-24,7,0,8
202,"安","relax",2022-09-01 08:09:46,2023-01-02,7,0,6
203,"宴","banquet",2022-08-30 19:48:30,2022-12-20,7,0,6
204,"寄","draw near",2022-09-05 07:34:46,2022-12-13,7,0,6
205,"富","wealth",2022-09-11 08:15:50,2023-01-05,7,0,6
206,"貯","savings",2022-10-29 20:46:56,2022-12-21,6,0,9
207,"木","tree",2022-09-03 08:10:28,2022-12-24,7,0,6
208,"林","grove",2022-08-23 19:00:17,2022-12-17,7,0,6
209,"森","forest",2022-08-18 15:29:18,2022-11-26,7,0,6
210,"桂","Japanese Judas-tree",2022-08-22 19:47:37,2022-12-16,7,0,6
211,"柏","oak",2022-09-07 07:34:50,2023-01-05,7,0,6
212,"枠","frame",2022-08-19 16:02:42,2022-12-23,7,0,6
213,"梢","treetops",2022-08-26 20:30:42,2022-12-24,7,0,6
214,"棚","shelf",2022-11-20 11:41:01,2022-11-26,3,0,7
215,"杏","apricot",2022-09-01 19:52:19,2022-12-20,7,0,6
216,"桐","paulownia",2022-08-28 16:01:09,2022-12-25,7,0,6
217,"植","plant",2022-09-18 18:59:07,2023-01-07,7,2,8
218,"椅","chair",2022-09-13 08:19:51,2023-01-04,7,1,8
219,"枯","wither",2022-08-24 08:21:55,2022-12-22,7,0,6
220,"朴","crude",2022-08-28 16:01:09,2022-12-04,7,0,6
221,"村","village",2022-09-18 18:16:28,2022-12-31,7,0,8
222,"相","inter-",2022-08-25 21:44:33,2022-12-07,7,0,6
223,"机","desk",2022-09-01 07:44:01,2022-12-27,7,0,6
224,"本","book",2022-08-28 15:22:37,2022-12-28,7,0,6
225,"札","tag",2022-09-04 10:23:35,2022-12-31,7,0,6
226,"暦","calendar",2022-08-22 19:51:38,2022-12-18,7,0,6
227,"案","plan",2022-10-06 21:16:37,2022-12-05,6,1,9
228,"燥","parch",2022-09-05 07:43:00,2022-12-10,7,1,7
229,"未","not yet",2022-09-02 21:10:04,2022-12-13,7,0,6
230,"末","extremity",2022-09-10 08:17:19,2022-12-22,7,1,7
231,"昧","obscure",2022-10-05 20:23:39,2023-01-16,7,1,10
232,"沫","splash",2022-09-01 08:46:05,2022-12-27,7,0,6
233,"味","flavor",2022-08-23 19:11:51,2022-12-19,7,0,6
234,"妹","younger sister",2022-08-24 08:34:47,2022-12-16,7,0,6
235,"朱","vermilion",2022-08-27 15:58:30,2022-12-22,7,0,6
236,"株","stocks",2022-09-08 07:45:27,2023-01-09,7,0,6
237,"若","young",2022-11-06 22:27:13,2022-12-27,6,0,9
238,"草","grass",2022-08-26 20:30:42,2022-11-29,7,0,6
239,"苦","suffering",2022-08-29 20:27:05,2022-12-16,7,0,6
240,"苛","bullying",2022-09-07 07:44:50,2022-12-15,7,0,6
241,"寛","tolerant",2022-09-07 08:08:17,2022-12-09,7,2,7
242,"薄","dilute",2022-08-25 21:55:23,2022-11-28,7,0,6
243,"葉","leaf",2022-09-09 07:42:32,2022-12-22,7,2,7
244,"模","imitation",2022-09-03 08:37:58,2023-01-04,7,0,6
245,"漠","vague",2022-08-19 15:44:27,2022-12-10,7,0,6
246,"墓","grave",2022-08-18 15:36:03,2022-12-11,7,0,6
247,"暮","livelihood",2022-09-06 08:05:06,2022-12-14,7,0,6
248,"膜","membrane",2022-09-07 07:40:01,2023-01-06,7,0,6
249,"苗","seedling",2022-11-16 22:43:09,2023-01-14,6,0,9
250,"兆","portent",2022-08-23 19:11:51,2022-12-01,7,0,6
251,"桃","peach tree",2022-09-28 20:18:00,2023-01-03,7,0,8
252,"眺","stare",2022-09-19 07:49:47,2022-12-30,7,1,7
253,"犬","dog",2022-08-22 19:51:38,2022-12-26,7,0,6
254,"状","status quo",2022-09-03 08:31:46,2022-12-13,7,0,6
255,"黙","silence",2022-11-19 08:17:12,2022-12-03,4,0,9
